startTime,transactionDirection,amountBtc,overallDirection,startPrice,highestPrice,lowestPrice,pctChgUp,pctChgDown,pctChg1Hr,pctChg2Hr,pctChg3Hr,pctChg6Hr,pctChg12Hr,pctChg24Hr
2020-02-03 3:18:11 PM,IN,36001,DOWN,9310,9348,9080,0.41,-2.47,0.15,0.15,-0.28,0.28,-0.13,-1.11
2020-02-03 3:20:38 PM,IN,50000,DOWN,9312.5,9348,9080,0.38,-2.50,0.12,0.04,-0.31,0.26,-0.16,-1.13
2020-02-03 3:23:58 PM,IN,25000,DOWN,9312,9348,9080,0.39,-2.49,0.12,-0.03,-0.31,0.26,-0.15,-1.13
2020-02-03 4:31:15 PM,IN,5000,DOWN,9293.5,9348,9080,0.59,-2.30,0.04,-0.11,0.20,0.12,0.13,-0.83
2020-02-03 4:55:28 PM,IN,20000,DOWN,9268,9348,9080,0.86,-2.03,0.17,0.40,0.48,0.30,0.40,-0.56
2020-02-03 6:03:06 PM,IN,47000,DOWN,9274.5,9348,9080,0.79,-2.10,0.41,0.40,0.67,0.26,0.06,-0.71
2020-02-18 1:05:34 PM,OUT,6000.00,UP,9682.5,10300,9621,6.38,-0.64,0.08,0.89,2.24,4.05,5.26,5.54
2020-03-04 2:12:37 PM,OUT,15000.00,UP,8765,9141,8665,4.29,-1.14,0.28,0.07,-0.31,-0.14,1.52,3.91
2020-04-10 7:23:55 PM,OUT,15000.00,DOWN,6930,6950,6782.5,0.29,-2.13,0.20,0.06,0.05,-0.14,0.19,-1.33
2020-04-13 7:45:05 PM,OUT,16000.00,UP,6800,6985.5,6765,2.73,-0.51,0.74,1.46,1.92,0.88,1.53,1.75
2020-04-27 5:22:52 PM,OUT,5000.00,UP,7670.5,7795.5,7645,1.63,-0.33,0.18,0.74,0.70,1.52,0.37,0.93
2020-04-29 12:52:44 PM,OUT,12000.00,UP,8205,9481,8202,15.55,-0.04,2.52,1.80,2.00,8.86,7.23,8.87
2020-05-03 9:05:29 AM,OUT,6000.00,DOWN,9069,9143,8527,0.82,-5.98,0.82,0.80,0.44,-1.74,-2.19,-3.90
2020-05-05 10:03:22 PM,OUT,7500.00,UP,8988,9412,8917.5,4.72,-0.78,0.01,0.61,0.45,0.99,1.54,3.64
2020-05-07 10:34:17 PM,OUT,2500.00,UP,9879.5,10085.5,9728.5,2.09,-1.53,1.67,2.09,1.73,0.76,0.29,1.52
2020-05-09 4:27:13 PM,OUT,7500.00,DOWN,9760.5,9788,8100,0.28,-17.01,0.04,0.28,0.05,-0.80,-11.22,-10.67
2020-05-11 1:27:58 PM,OUT,5000.00,DOWN,8802,8955,8160,1.74,-7.29,1.52,1.74,1.74,-1.74,-1.65,-0.26
2020-05-12 8:58:40 PM,OUT,10000.00,UP,8826.5,9349.5,8741.5,5.93,-0.96,0.29,0.03,0.21,1.88,1.05,5.93
2020-05-19 3:49:37 PM,OUT,6500.00,UP,9665,9850,9485,1.91,-1.86,0.59,0.47,0.52,0.40,1.16,1.21
2020-05-25 12:54:00 PM,OUT,8500.00,UP,8753,9014.5,8710,2.99,-0.49,0.27,1.06,0.54,1.79,1.87,1.89
